PAR TL208
AZP 208 ; 81
NDA 1
COM ***************** Evaluation Date: 28/07/2010 ****************
COM ===================== Daughter Separator =====================
DAU PB208
DDE 1 ;  ; 16 ; 15
Q   4999 ; 1.7
COM ---------------------- Branch Separator ----------------------
EK  0.0000198 ; 0.0000005 ; 1005.896 ; 0.02 ; 1
EL1 0.00000285 ; 0.00000008 ; 1078.039 ; 0.02 ; 1
EL2 0.000000677 ; 0.000000018 ; 1078.7 ; 0.02 ; 1
EL3 0.0000001813 ; 0.0000000049 ; 1080.865 ; 0.02 ; 1
EM  0.00000088 ; 0.000000024 ; 1090.792 ; 0.02 ; 1
EN  0.000000267 ; 0.000000007 ; 1093.41 ; 0.02 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3475.078 ; 0.011 ; 14 ;  ;  ; 3
GA  0.066 ; 0.003 ; 277.37 ; 0.02 ; 2
EK  0.0285 ; 0.0014 ; 189.366 ; 0.02 ; 2
EL1 0.00439 ; 0.00021 ; 261.509 ; 0.02 ; 2
EL2 0.000454 ; 0.000022 ; 262.17 ; 0.02 ; 2
EL3 0.0000337 ; 0.0000017 ; 264.335 ; 0.02 ; 2
EM  0.00114 ; 0.00005 ; 274.262 ; 0.02 ; 2
EN  0.000348 ; 0.000017 ; 276.88 ; 0.02 ; 2
GA  0.124 ; 0.001 ; 860.53 ; 0.02 ; 1
EK  0.002666 ; 0.000043 ; 772.526 ; 0.02 ; 1
EL1 0.000403 ; 0.000007 ; 844.669 ; 0.02 ; 1
EL2 0.0000365 ; 0.0000007 ; 845.33 ; 0.02 ; 1
EL3 0.000002691 ; 0.000000043 ; 847.495 ; 0.02 ; 1
EM  0.000103 ; 0.0000017 ; 857.422 ; 0.02 ; 1
EN  0.0000314 ; 0.0000005 ; 860.04 ; 0.02 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3197.711 ; 0.01 ; 7 ;  ;  ; 2
GA  0.85 ; 0.003 ; 583.187 ; 0.002 ; 1
EK  0.01283 ; 0.00019 ; 495.1825 ; 0.002 ; 1
EL1 0.001879 ; 0.000026 ; 567.3262 ; 0.002 ; 1
EL2 0.001196 ; 0.000018 ; 567.987 ; 0.002 ; 1
EL3 0.000412 ; 0.000006 ; 570.1518 ; 0.002 ; 1
EM  0.000858 ; 0.000013 ; 580.0788 ; 0.002 ; 1
EN  0.0002581 ; 0.0000041 ; 582.6973 ; 0.002 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2614.552 ; 0.01 ; 7 ;  ;  ; 1
GA  0.99755 ; 0.00004 ; 2614.511 ; 0.01 ; 0
EK  0.001704 ; 0.000024 ; 2526.506 ; 0.01 ; 0
EL1 0.0002524 ; 0.000004 ; 2598.65 ; 0.01 ; 0
EL2 0.00003471 ; 0.0000005 ; 2599.311 ; 0.01 ; 0
EL3 0.00000474 ; 0.00000007 ; 2601.476 ; 0.01 ; 0
EM  0.0000683 ; 0.000001 ; 2611.403 ; 0.01 ; 0
EN  0.00002078 ; 0.0000003 ; 2614.021 ; 0.01 ; 0
