PAR PA231
AZP 231 ; 91
NDA 1
COM ***************** Evaluation Date: 08/03/2010 ****************
COM ===================== Daughter Separator =====================
DAU AC227
DDE 1 ;  ; 25 ; 23
Q   5149.9 ; 0.8
COM ---------------------- Branch Separator ----------------------
EN  0.000216 ; 0.000006 ; 299.311 ; 0.014 ; 2
GA  0.023 ; 0.003 ; 302.67 ; 0.014 ; 1
EK  0.00066 ; 0.00009 ; 195.914 ; 0.014 ; 1
EL1 0.000086 ; 0.000011 ; 282.824 ; 0.014 ; 1
EL2 0.000021 ; 0.0000028 ; 283.589 ; 0.014 ; 1
EL3 0.0000144 ; 0.0000019 ; 286.8 ; 0.014 ; 1
EM  0.000029 ; 0.0000038 ; 298.638 ; 0.014 ; 1
EN  0.0000094 ; 0.0000012 ; 301.921 ; 0.014 ; 1
GA  0.0136 ; 0.0003 ; 330.04 ; 0.01 ; 0
EK  0.00585 ; 0.00025 ; 223.284 ; 0.01 ; 0
EL1 0.000966 ; 0.000046 ; 310.194 ; 0.01 ; 0
EL2 0.000151 ; 0.000009 ; 310.959 ; 0.01 ; 0
EL3 0.00002 ; 0.000005 ; 314.17 ; 0.01 ; 0
EM  0.000275 ; 0.000009 ; 326.008 ; 0.01 ; 0
EN  0.0000896 ; 0.0000028 ; 329.291 ; 0.01 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 304.73 ; 0.05 ; 2 ;  ;  ; 14
GA  0.000017 ; 0.000008 ; 230.59 ; 0.05 ; 4
GA  0.000015 ; 0.000004 ; 258.38 ; 0.05 ; 3
COM -------------- Level Separator - T1/2 in seconds -------------
LED 273.14 ; 0.03 ; 22 ;  ;  ; 13
GA  0.00003 ; 0.000012 ; 199 ; 0.03 ; 4
GA  0.00036 ; 0.00005 ; 243.16 ; 0.03 ; 2
EK  0.0002 ; 0.00006 ; 136.404 ; 0.03 ; 2
EL1 0.000032 ; 0.000012 ; 223.314 ; 0.03 ; 2
EL2 0.0000209 ; 0.0000049 ; 224.079 ; 0.03 ; 2
EL3 0.0000083 ; 0.0000028 ; 227.29 ; 0.03 ; 2
EM  0.000016 ; 0.0000023 ; 239.128 ; 0.03 ; 2
EN  0.0000052 ; 0.0000008 ; 242.411 ; 0.03 ; 2
GA  0.00012 ; 0.00004 ; 245.77 ; 0.03 ; 1
EK  0.0000055 ; 0.0000018 ; 139.014 ; 0.03 ; 1
EL1 0.0000007 ; 0.00000023 ; 225.924 ; 0.03 ; 1
EL2 0.0000002 ; 0.00000007 ; 226.689 ; 0.03 ; 1
EL3 0.000000142 ; 0.000000048 ; 229.9 ; 0.03 ; 1
EM  0.00000025 ; 0.00000008 ; 241.738 ; 0.03 ; 1
EN  0.00000008 ; 0.000000027 ; 245.021 ; 0.03 ; 1
GA  0.000579 ; 0.000012 ; 273.14 ; 0.03 ; 0
EK  0.00033 ; 0.00006 ; 166.384 ; 0.03 ; 0
EL1 0.000054 ; 0.000009 ; 253.294 ; 0.03 ; 0
EL2 0.0000162 ; 0.0000029 ; 254.059 ; 0.03 ; 0
EL3 0.0000046 ; 0.0000017 ; 257.27 ; 0.03 ; 0
EM  0.0000187 ; 0.000001 ; 269.108 ; 0.03 ; 0
EN  0.00000612 ; 0.00000032 ; 272.391 ; 0.03 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 271.29 ; 0.06 ; 13 ;  ;  ; 12
GA  0.00003 ; 0.000007 ; 72.58 ; 0.07 ; 10
EL1 0.000176 ; 0.000041 ; 52.73 ; 0.07 ; 10
EL2 0.0000203 ; 0.0000047 ; 53.5 ; 0.07 ; 10
EL3 0.00000121 ; 0.00000028 ; 56.71 ; 0.07 ; 10
EM  0.000047 ; 0.000011 ; 68.55 ; 0.07 ; 10
EN  0.0000155 ; 0.0000036 ; 71.83 ; 0.07 ; 10
GA  0.000115 ; 0.000009 ; 144.43 ; 0.06 ; 7
EK  0.0000302 ; 0.0000024 ; 37.67 ; 0.06 ; 7
EL1 0.0000081 ; 0.0000006 ; 124.58 ; 0.06 ; 7
EL2 0.000095 ; 0.000008 ; 125.35 ; 0.06 ; 7
EL3 0.0000583 ; 0.0000047 ; 128.56 ; 0.06 ; 7
EM  0.0000442 ; 0.0000035 ; 140.4 ; 0.06 ; 7
EN  0.0000143 ; 0.0000011 ; 143.68 ; 0.06 ; 7
COM -------------- Level Separator - T1/2 in seconds -------------
LED 210.78 ; 0.05 ; 12 ;  ;  ; 11
GA  0.000048 ; 0.000006 ; 23.46 ; 0.06 ; 9
EL1 0.0078 ; 0.001 ; 3.61 ; 0.06 ; 9
EL2 0.00089 ; 0.00011 ; 4.38 ; 0.06 ; 9
EL3 0.00006 ; 0.000008 ; 7.59 ; 0.06 ; 9
EM  0.00212 ; 0.00027 ; 19.43 ; 0.06 ; 9
EN  0.00069 ; 0.00009 ; 22.71 ; 0.06 ; 9
GA  0.000226 ; 0.000009 ; 100.84 ; 0.05 ; 6
EL1 0.0000441 ; 0.0000019 ; 80.99 ; 0.05 ; 6
EL2 0.000938 ; 0.00004 ; 81.76 ; 0.05 ; 6
EL3 0.000669 ; 0.000029 ; 84.97 ; 0.05 ; 6
EM  0.000452 ; 0.000019 ; 96.81 ; 0.05 ; 6
EN  0.000146 ; 0.000006 ; 100.09 ; 0.05 ; 6
COM -------------- Level Separator - T1/2 in seconds -------------
LED 198.71 ; 0.04 ; 13 ;  ;  ; 10
GA  0.000019 ; 0.000007 ; 71.85 ; 0.05 ; 7
EL1 0.000115 ; 0.000042 ; 52 ; 0.05 ; 7
EL2 0.0000132 ; 0.0000049 ; 52.77 ; 0.05 ; 7
EL3 0.00000079 ; 0.00000029 ; 55.98 ; 0.05 ; 7
EM  0.000031 ; 0.000011 ; 67.82 ; 0.05 ; 7
EN  0.0000101 ; 0.0000037 ; 71.1 ; 0.05 ; 7
GA  0.000043 ; 0.000004 ; 124.57 ; 0.04 ; 4
EK  0.0000123 ; 0.0000012 ; 17.814 ; 0.04 ; 4
EL1 0.00000448 ; 0.00000042 ; 104.724 ; 0.04 ; 4
EL2 0.000069 ; 0.000006 ; 105.489 ; 0.04 ; 4
EL3 0.000045 ; 0.0000042 ; 108.7 ; 0.04 ; 4
EM  0.0000323 ; 0.000003 ; 120.538 ; 0.04 ; 4
EN  0.0000105 ; 0.000001 ; 123.821 ; 0.04 ; 4
COM -------------- Level Separator - T1/2 in seconds -------------
LED 187.32 ; 0.03 ; 18 ;  ;  ; 9
GA  0.000053 ; 0.000007 ; 60.46 ; 0.04 ; 7
EL1 0.0000067 ; 0.0000009 ; 40.614 ; 0.04 ; 7
EL2 0.0000052 ; 0.0000007 ; 41.379 ; 0.04 ; 7
EL3 0.0000055 ; 0.0000007 ; 44.59 ; 0.04 ; 7
EM  0.0000042 ; 0.0000006 ; 56.428 ; 0.04 ; 7
EN  0.00000134 ; 0.00000018 ; 59.711 ; 0.04 ; 7
GA  0.00061 ; 0.00004 ; 77.38 ; 0.04 ; 6
EL1 0.00298 ; 0.0002 ; 57.534 ; 0.04 ; 6
EL2 0.000343 ; 0.000023 ; 58.299 ; 0.04 ; 6
EL3 0.0000203 ; 0.0000014 ; 61.51 ; 0.04 ; 6
EM  0.0008 ; 0.00005 ; 73.348 ; 0.04 ; 6
EN  0.000262 ; 0.000018 ; 76.631 ; 0.04 ; 6
GA  0.00019 ; 0.00004 ; 102.77 ; 0.03 ; 5
EL1 0.000035 ; 0.000007 ; 82.924 ; 0.03 ; 5
EL2 0.00072 ; 0.00015 ; 83.689 ; 0.03 ; 5
EL3 0.00051 ; 0.00011 ; 86.9 ; 0.03 ; 5
EM  0.00035 ; 0.00007 ; 98.738 ; 0.03 ; 5
EN  0.000113 ; 0.000024 ; 102.021 ; 0.03 ; 5
COM -------------- Level Separator - T1/2 in seconds -------------
LED 160 ; 2 ; 0 ;  ;  ; 8
COM -------------- Level Separator - T1/2 in seconds -------------
LED 126.86 ; 0.02 ; 12 ;  ;  ; 7
GA  0.00076 ; 0.00004 ; 52.72 ; 0.022 ; 4
EL1 0.0114 ; 0.0006 ; 32.874 ; 0.022 ; 4
EL2 0.0013 ; 0.00007 ; 33.639 ; 0.022 ; 4
EL3 0.0000805 ; 0.0000044 ; 36.85 ; 0.022 ; 4
EM  0.00306 ; 0.00017 ; 48.688 ; 0.022 ; 4
EN  0.001 ; 0.00005 ; 51.971 ; 0.022 ; 4
GA  0.00084 ; 0.00003 ; 96.88 ; 0.022 ; 2
EL1 0.000186 ; 0.000007 ; 77.034 ; 0.022 ; 2
EL2 0.00419 ; 0.00016 ; 77.799 ; 0.022 ; 2
EL3 0.00302 ; 0.00012 ; 81.01 ; 0.022 ; 2
EM  0.00202 ; 0.00008 ; 92.848 ; 0.022 ; 2
EN  0.000656 ; 0.000025 ; 96.131 ; 0.022 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 109.94 ; 0.02 ; 18 ;  ;  ; 6
GA  0.00095 ; 0.00007 ; 25.39 ; 0.022 ; 5
EL1 0.122 ; 0.009 ; 5.544 ; 0.022 ; 5
EL2 0.014 ; 0.001 ; 6.309 ; 0.022 ; 5
EL3 0.00093 ; 0.00007 ; 9.52 ; 0.022 ; 5
EM  0.0332 ; 0.0025 ; 21.358 ; 0.022 ; 5
EN  0.0108 ; 0.0008 ; 24.641 ; 0.022 ; 5
GA  0.000163 ; 0.00001 ; 35.8 ; 0.022 ; 4
EL1 0.000057 ; 0.0000036 ; 15.954 ; 0.022 ; 4
EL2 0.0000714 ; 0.0000045 ; 16.719 ; 0.022 ; 4
EL3 0.000086 ; 0.000005 ; 19.93 ; 0.022 ; 4
EM  0.0000533 ; 0.0000034 ; 31.768 ; 0.022 ; 4
EN  0.0000167 ; 0.0000011 ; 35.051 ; 0.022 ; 4
GA  0.000446 ; 0.000017 ; 63.59 ; 0.022 ; 3
EL1 0.0005 ; 0.00002 ; 43.744 ; 0.022 ; 3
EL2 0.0156 ; 0.0006 ; 44.509 ; 0.022 ; 3
EL3 0.013 ; 0.0005 ; 47.72 ; 0.022 ; 3
EM  0.00794 ; 0.00033 ; 59.558 ; 0.022 ; 3
